text,tag,hash,file
Den svenska modellen och EU:s sociala pelare,0,ef868bc7,/content/corpus/protocols/202021/prot-202021--9.xml
Anf. 43 Finansminister MAGDALENA ANDERSSON (S),1,f2130618,/content/corpus/protocols/202021/prot-202021--38.xml
till statsrådet Anna Hallberg (S),0,51fceaa0,/content/corpus/protocols/202021/prot-202021--38.xml
"Fru talman! Tack, Pia Steensland, för frågan!",0,4def3745,/content/corpus/protocols/202021/prot-202021--26.xml
"Samtidigt är det viktigt att framhålla att länsstyrelserna generellt
              sett besitter värdefull kunskap om lokala förhållanden. För att
              undvika att länsstyrelserna förlorar kompetens som också behövs
              i det bredare arbetet med krisberedskap och civilt försvar avser
              regeringen att låta länsstyrelserna behålla medel som motsvarar
              kostnaderna för tillsynsverksamheten.",0,dc71c562,/content/corpus/protocols/202021/prot-202021--25.xml  
§ 2 Anmälan om riksdagsledamöter vid riksmötets inledande,0,,/content/corpus/protocols/202021/prot-202021--1.xml
Kammaren biföll utskottets förslag.,0,4f4af2d1,/content/corpus/protocols/201920/prot-201920--93.xml
Anf. 60 HELENA GELLERMAN (L):,1,f494bc09,/content/corpus/protocols/201920/prot-201920--86.xml
"Fru talman! Kampen mot hedersrelaterat våld och förtryck är en
              av våra viktigaste jämställdhetsfrågor. Jag kan konstatera att
              den sakpolitiska överenskommelsen mellan Socialdemokraterna, Centerpartiet,
              Liberaler ­ na och Miljöpartiet – januariavtalet kallat – betonar
              att hedersrelaterad brottslighet och förtryck ska förebyggas,
              förhindras och straffas. Under frågestunden nyss kunde vi höra
              justitieministern lyfta fram det arbete som regeringen gör.",0,cba474e2,/content/corpus/protocols/201920/prot-201920--82.xml
"Slutligen skulle jag vilja fråga ministern om den utredning han
              tog upp i sitt svar, den som tillsatts avseende kontrollverksamheten
              inom yrkestrafiken. I direktiven till den utredningen framgår
              det inte att illegal taxi, det vill säga svarttaxi, omfattas av
              utredarens uppdrag. Är det ministerns uppfattning att utredningen
              ska omfatta kontrollen av illegal taxi?",0,42406710,/content/corpus/protocols/201920/prot-201920--78.xml
"Det går inte att bortse från att Moderaterna med bara ett par
              veckors mellanrum kör sönder en ordnad budgetprocess och struntar
              i att finansiera sina förslag.",0,d673e5b9,/content/corpus/protocols/201920/prot-201920--77.xml
Anf. 71 ROBERT HALEF (KD):,1,15fb1890,/content/corpus/protocols/201920/prot-201920--76.xml
"I den senaste debatten vi hade lyfte jag upp ett exempel från
              Tyskland som jag nyligen hade läst om. Det kan man säkert också
              tycka olika om, men det blir ändå spännande att följa allt som
              sker i andra länder och se hur man kan lära av varandra. När det
              blir för stora populationer på ett och samma ställe skapar det
              problem – det vet vi. Det kan vara svårt att se och hitta de individer
              som är problemvargar vid en skyddsjakt.",0,e756ddf8,/content/corpus/protocols/201920/prot-201920--76.xml
§ 8 Anmälan om frågor för skriftliga svar,0,af8fbea4,/content/corpus/protocols/201920/prot-201920--7.xml
"I grunden har vi nog inte olika uppfattningar när det gäller
              målbilden: Det ska vara ordning och reda i yrkestrafiken. I grunden
              är det bra att vi tillför resurser till våra myndigheter så att
              de kan utöva den kontrollen.",0,b53d1c01,/content/corpus/protocols/201920/prot-201920--68.xml
Anf. 17 Infrastrukturminister TOMAS ENEROTH (S),1,97bccfdb,/content/corpus/protocols/201920/prot-201920--61.xml
Anf. 117 Statsrådet MIKAEL DAMBERG (S):,1,d5b8464f,/content/corpus/protocols/201920/prot-201920--59.xml
Anf. 83 Statsrådet ARDALAN SHEKARABI (S),1,f1cc0051,/content/corpus/protocols/201920/prot-201920--45.xml
