text,tag,hash,file,berttag
Anf. 4 ADAM MARTTINEN (SD),0,,/content/corpus/protocols/202021/prot-202021--8.xml,1
Anf. 54 Statsrådet INGEGERD WÄRNERS-,0,,/content/corpus/protocols/200001/prot-200001--113.xml,1
Anf. 20 ALI ESBATI (V),0,,/content/corpus/protocols/201415/prot-201415--19.xml,1
Statsrådet fru MYRDAL:,0,3aa013d5,/content/corpus/protocols/1970/prot-1970--ak--9.xml,1
Anf. 65 MATS BERGLUND (MP) replik,0,,/content/corpus/protocols/201819/prot-201819--74.xml,1
Anf. 55 CARINA ADOLFSSON ELGES-,0,,/content/corpus/protocols/200102/prot-200102--18.xml,1
Anf. 35 Statsrådet ANDERS YGEMAN (S),0,,/content/corpus/protocols/201617/prot-201617--57.xml,1
Anf. 25 CHRISTINA HÖJ LARSEN (V),0,,/content/corpus/protocols/202021/prot-202021--47.xml,1
Anf. 143 KRISTINA YNGWE (C) replik,0,,/content/corpus/protocols/201617/prot-201617--46.xml,1
1982/83:,1,30837f99,/content/corpus/protocols/198283/prot-198283--107.xml,0
Anf. 57 JUNO BLOM (L) replik,0,,/content/corpus/protocols/201920/prot-201920--64.xml,1
Anf. 84 STEN BERGHEDEN (M),0,,/content/corpus/protocols/202021/prot-202021--133.xml,1
Anf. 148 GUNILLA CARLSSON i Hisings Backa (S) replik:,0,,/content/corpus/protocols/201213/prot-201213--78.xml,1
Anf. 204 ISAK FROM (S) replik,0,,/content/corpus/protocols/202021/prot-202021--51.xml,1
Anf. 90 Statsrådet ANNA JOHANSSON (S),0,,/content/corpus/protocols/201516/prot-201516--90.xml,1
Anf. 208 LARS HJÄLMERED (M) replik,0,,/content/corpus/protocols/201920/prot-201920--58.xml,1
Anf. 110 Statsrådet ANNA JOHANSSON (S),0,,/content/corpus/protocols/201617/prot-201617--48.xml,1
Anf. 83 Utbildningsminister GUSTAV FRIDOLIN (MP),0,,/content/corpus/protocols/201516/prot-201516--121.xml,1
Anf. 128 RASMUS LING (MP) replik,0,,/content/corpus/protocols/201718/prot-201718--123.xml,1
1979/80:,1,06610095,/content/corpus/protocols/197980/prot-197980--118.xml,0
"Herr utrikesministern ANDERSSON erhöll ordet för att besvara
            herr Strindbergs (m) den 19 mars anmälda interpellation, 1975/76:155,
            till herr statsministern, och anförde:",0,f9a3be84,/content/corpus/protocols/197576/prot-197576--110.xml,1
"Herr Hallin erhöll på begäran ordet och yttrade: I enlighet med
            vad som har skett under de senaste två riksdagarna då med herr
            talmannens tillstånd till riksdagen överlämnats de resolutioner,
            som fattats vid interparlamentariska unionens senaste konferens,
            anhåller jag nu å riksdagens interparlamentariska grupps styrelses
            vägnar att få till riksdagen överlämna en skrivelse med de resolutioner,
            som beslutats vid unionens konferens nästlidna augusti i Geneve
            och Bern. Styrelsen önskar särskilt fästa uppmärksamheten vid
            resolutionerna om unionens finansiella situation, den parlamentariska
            kontrollen över utrikespolitiken, världens ekonomiska solidaritet
            och den internationella trafiken samt inskränkning av rustningarna.",0,c418b21d,/content/corpus/protocols/1925/prot-1925--fk--21.xml,1
"177 av Isa Halvarsson (fp) till utbildningsministern om försöksverksamheten
            med den nya gymnasiereformen:",1,449fe7df,/content/corpus/protocols/198889/prot-198889--18.xml,0
Anf. 88 Statsrådet BENGT K. Å. JOHANSSON:,0,f844330c,/content/corpus/protocols/198687/prot-198687--37.xml,1
Anf. 97 LOTTA FINSTORP (M),0,,/content/corpus/protocols/201415/prot-201415--69.xml,1
