text1,file
Anf. 71 CHRISTER NYLANDER (fp):,/content/corpus/protocols/200910/prot-200910--86.xml
"Herr NILSSON, FERDINAND, (cp):",/content/corpus/protocols/1966/prot-1966-hÃ¶st-fk--36.xml
Anf. 126 ÅSA DOMEIJ (mp) replik:,/content/corpus/protocols/199091/prot-199091--124.xml
Herr SUNDSTRÖM (s):,/content/corpus/protocols/1954/prot-1954--ak--22.xml
Herr Björck i Kristianstad:,/content/corpus/protocols/1932/prot-1932--ak--48.xml
Anf. 17 LINDA SNECKER (V):,/content/corpus/protocols/201617/prot-201617--69.xml
Anf. 27 JOE FRANS (s) replik:,/content/corpus/protocols/200405/prot-200405--108.xml
Anf. 69 MATS NORDBERG (SD),/content/corpus/protocols/201920/prot-201920--59.xml
Herr LUNDSTRÖM (fp):,/content/corpus/protocols/1964/prot-1964--fk--18.xml
Anf. 63 ALEXANDER CHRISOPOULOS (vpk):,/content/corpus/protocols/198283/prot-198283--130.xml
Anf. 20 INGVAR KARLSSON i Bengtsfors (c):,/content/corpus/protocols/198283/prot-198283--22.xml
Anf. 3 TALMANNEN:,/content/corpus/protocols/201819/prot-201819--40.xml
Herr Olovson i Västerås:,/content/corpus/protocols/1928/prot-1928--ak--43.xml
Anf. 8 CATHARINA BRÅKENHIELM (S),/content/corpus/protocols/201415/prot-201415--55.xml
Anf. 124 Statsrådet MÄRTA STENEVI (MP):,/content/corpus/protocols/202021/prot-202021--109.xml
Anf. 71 EVA LOHMAN (M):,/content/corpus/protocols/201718/prot-201718--43.xml
Anf. 206 HANS DAU (m) replik:,/content/corpus/protocols/199394/prot-199394--119.xml
Herr Skoglund i Umeå:,/content/corpus/protocols/1947/prot-1947--ak--18.xml
Herr HALLÉN:,/content/corpus/protocols/1949/prot-1949--ak--10.xml
"Chefen för handelsdepartementet, herr statsrådet Svensson: Det
              yttrande som herr Engberg här haft skall icke föranleda mig till
              många ord. Jag vill endast säga det, vilket ju också framgår av
              det anförande till statsrådsprotokollet, vari jag motiverat propositionen,
              att jag ingalunda har förbisett, att åtgärder av den art som här
              föreslås äro förbundna med olägenheter av många slag. Men å andra
              sidan ser jag förhållandena uti landet med avseende å viktiga
              punkter uti vårt näringsliv på sådant sätt och betraktar framtiden
              såsom så oviss, att jag icke desto mindre — med fullständig uppskattning
              av svårigheterna — har ansett mig icke kunna stå till svars med
              att icke bringa denna sak under riksdagens prövning.",/content/corpus/protocols/1922/prot-1922--ak--35.xml
"Herr Ericsson, Ollas:",/content/corpus/protocols/1921/prot-1921--fk--44.xml
Anf. 73 ALICE ÅSTRÖM (v) replik:,/content/corpus/protocols/199697/prot-199697--42.xml
