text1,compounded,file,split
Anf. 71 CHRISTER NYLANDER (fp):,0,/content/corpus/protocols/200910/prot-200910--86.xml,train
"Herr NILSSON, FERDINAND, (cp):",0,/content/corpus/protocols/1966/prot-1966-hÃ¶st-fk--36.xml,train
Anf. 126 ÅSA DOMEIJ (mp) replik:,0,/content/corpus/protocols/199091/prot-199091--124.xml,train
Herr SUNDSTRÖM (s):,0,/content/corpus/protocols/1954/prot-1954--ak--22.xml,train
Herr Björck i Kristianstad:,0,/content/corpus/protocols/1932/prot-1932--ak--48.xml,train
Anf. 17 LINDA SNECKER (V):,0,/content/corpus/protocols/201617/prot-201617--69.xml,train
Anf. 27 JOE FRANS (s) replik:,0,/content/corpus/protocols/200405/prot-200405--108.xml,train
Anf. 69 MATS NORDBERG (SD),0,/content/corpus/protocols/201920/prot-201920--59.xml,train
Herr LUNDSTRÖM (fp):,0,/content/corpus/protocols/1964/prot-1964--fk--18.xml,train
Anf. 63 ALEXANDER CHRISOPOULOS (vpk):,0,/content/corpus/protocols/198283/prot-198283--130.xml,train
Anf. 20 INGVAR KARLSSON i Bengtsfors (c):,0,/content/corpus/protocols/198283/prot-198283--22.xml,train
Anf. 3 TALMANNEN:,0,/content/corpus/protocols/201819/prot-201819--40.xml,train
Herr Olovson i Västerås:,0,/content/corpus/protocols/1928/prot-1928--ak--43.xml,train
Anf. 8 CATHARINA BRÅKENHIELM (S),0,/content/corpus/protocols/201415/prot-201415--55.xml,train
Anf. 124 Statsrådet MÄRTA STENEVI (MP):,0,/content/corpus/protocols/202021/prot-202021--109.xml,train
Anf. 71 EVA LOHMAN (M):,0,/content/corpus/protocols/201718/prot-201718--43.xml,train
Anf. 206 HANS DAU (m) replik:,0,/content/corpus/protocols/199394/prot-199394--119.xml,train
Herr Skoglund i Umeå:,0,/content/corpus/protocols/1947/prot-1947--ak--18.xml,train
Herr HALLÉN:,0,/content/corpus/protocols/1949/prot-1949--ak--10.xml,train
"Chefen för handelsdepartementet, herr statsrådet Svensson: Det
              yttrande som herr Engberg här haft skall icke föranleda mig till
              många ord. Jag vill endast säga det, vilket ju också framgår av
              det anförande till statsrådsprotokollet, vari jag motiverat propositionen,
              att jag ingalunda har förbisett, att åtgärder av den art som här
              föreslås äro förbundna med olägenheter av många slag. Men å andra
              sidan ser jag förhållandena uti landet med avseende å viktiga
              punkter uti vårt näringsliv på sådant sätt och betraktar framtiden
              såsom så oviss, att jag icke desto mindre — med fullständig uppskattning
              av svårigheterna — har ansett mig icke kunna stå till svars med
              att icke bringa denna sak under riksdagens prövning.",1,/content/corpus/protocols/1922/prot-1922--ak--35.xml,train
"Herr Ericsson, Ollas:",0,/content/corpus/protocols/1921/prot-1921--fk--44.xml,train
Anf. 73 ALICE ÅSTRÖM (v) replik:,0,/content/corpus/protocols/199697/prot-199697--42.xml,train
Anf. 17 KARIN PILSÄTER (fp) replik:,0,/content/corpus/protocols/200001/prot-200001--113.xml,train
"Herr Ström, Fredrik:",0,/content/corpus/protocols/1932/prot-1932--fk--44.xml,train
Herr Ekman:,0,/content/corpus/protocols/1930/prot-1930--fk--3.xml,train
Anf. 75 MARIA STOCKHAUS (M):,0,/content/corpus/protocols/201516/prot-201516--35.xml,train
Herr NÄSSTRÖM (s):,0,/content/corpus/protocols/1968/prot-1968--fk--9.xml,train
Herr JOHANSSON i Norrköping (s):,0,/content/corpus/protocols/1968/prot-1968--ak--16.xml,train
Anf. 41 DAG KLACKENBERG (M) replik,0,/content/corpus/protocols/201718/prot-201718--116.xml,train
Herr ÖHMAN:,0,/content/corpus/protocols/1948/prot-1948--fk--13.xml,train
Herr Hage:,0,/content/corpus/protocols/1927/prot-1927--ak--38.xml,train
ALF WENNERFORS (m):,0,/content/corpus/protocols/198990/prot-198990--44.xml,train
Herr Möller erhöll på begäran ordet och anförde:,0,/content/corpus/protocols/1930/prot-1930--fk--12.xml,train
Herr Hagberg i Malmö:,0,/content/corpus/protocols/1941/prot-1941--ak--33.xml,train
Anf. 39 GUNNEL JONÄNG (c) replik:,0,/content/corpus/protocols/198586/prot-198586--112.xml,train
Anf. 96 SIW WITTGREN-AHL (s) replik:,0,/content/corpus/protocols/200708/prot-200708--83.xml,train
Herr GUSTAVSSON i Alvesta (cp):,0,/content/corpus/protocols/1969/prot-1969-hÃ¶st-ak--40.xml,train
Anf. 120 NILS NORDH (s):,0,/content/corpus/protocols/198586/prot-198586--120.xml,train
"Industriministern NILS ÅSLING erhöll ordet för att besvara Alf
            Wennerfors (m) den 30 november anmälda interpellation, 1979/80:90,
            och anförde:",0,/content/corpus/protocols/197980/prot-197980--62.xml,train
Anf. 140 Arbetsmarknadsminister MONA,0,/content/corpus/protocols/199091/prot-199091--33.xml,train
Anf. 72 JOHAN PEHRSON (fp):,0,/content/corpus/protocols/19992000/prot-19992000--93.xml,train
Herr Lindman:,0,/content/corpus/protocols/1922/prot-1922--ak--48.xml,train
Herr BJÖRKMAN (m):,0,/content/corpus/protocols/1970/prot-1970--ak--11.xml,train
Herr WIRMARK (fp):,0,/content/corpus/protocols/1972/prot-1972--57.xml,train
Herr GUSTAFSSON i Ronneby (s):,0,/content/corpus/protocols/197677/prot-197677--40.xml,train
Anf. 53 Kulturminister LENA ADELSOHN LILJEROTH (m):,0,/content/corpus/protocols/200809/prot-200809--59.xml,train
Herr Holmdahl:,0,/content/corpus/protocols/1929/prot-1929--ak--31.xml,train
Anf. 20 PER ISRAELSSON (vpk):,0,/content/corpus/protocols/198182/prot-198182--147.xml,train
Anf. 57 Socialförsäkringsminister ANNIKA STRANDHÄLL (S) replik,0,/content/corpus/protocols/201516/prot-201516--25.xml,train
Herr Grapenson:,0,/content/corpus/protocols/1927/prot-1927--ak--39.xml,train
Anf. 76 Jordbruksminister MARGARETA,0,/content/corpus/protocols/199596/prot-199596--26.xml,train
Anf. 9 BO LUNDGREN (m):,0,/content/corpus/protocols/198283/prot-198283--21.xml,train
Anf. 69 Justitieminister BEATRICE ASK (M):,0,/content/corpus/protocols/201112/prot-201112--36.xml,train
Anf. 175 YVONNE ANDERSSON (kd) replik:,0,/content/corpus/protocols/199899/prot-199899--92.xml,train
Anf. 30 MAGGI MIKAELSSON (v) replik:,0,/content/corpus/protocols/199798/prot-199798--48.xml,train
Anf. 159 ANNE LUDVIGSSON (s):,0,/content/corpus/protocols/200102/prot-200102--93.xml,train
Anf. 13 KENNETH KVIST (v) replik:,0,/content/corpus/protocols/199495/prot-199495--23.xml,train
Herr CHRISTENSON i Malmö (fp):,0,/content/corpus/protocols/1964/prot-1964--ak--27.xml,train
TAGE ADOLFSSON (m):,0,/content/corpus/protocols/197980/prot-197980--45.xml,train
Anf. 66 SVEN GUNNAR PERSSON (kd) replik:,0,/content/corpus/protocols/200708/prot-200708--45.xml,train
Anf. 64 Klimat- och miljöminister ÅSA ROMSON (MP):,0,/content/corpus/protocols/201415/prot-201415--59.xml,train
Anf. 11 PÄR GRANSTEDT (c):,0,/content/corpus/protocols/198283/prot-198283--143.xml,train
"Herr Nilsson, Bror:",0,/content/corpus/protocols/1942/prot-1942--fk--16.xml,train
Anf. 26 Statsminister STEFAN LÖFVEN (S):,0,/content/corpus/protocols/201516/prot-201516--81.xml,train
Anf. 46 Statsrådet ANDERS YGEMAN (S),0,/content/corpus/protocols/201920/prot-201920--57.xml,train
TYRA JOHANSSON (s):,0,/content/corpus/protocols/197980/prot-197980--30.xml,train
Anf. 138 PER BILL (M) replik,0,/content/corpus/protocols/201415/prot-201415--42.xml,train
Herr Dahl:,0,/content/corpus/protocols/1924/prot-1924--fk--15.xml,train
Herr WERNER i Tyresö (vpk):,0,/content/corpus/protocols/1975/prot-1975--14.xml,train
Anf. 126 Statsrådet MEHMET KAPLAN (MP),0,/content/corpus/protocols/201516/prot-201516--26.xml,train
Herr AGERBERG (h):,0,/content/corpus/protocols/1953/prot-1953-hÃ¶st-ak--30.xml,train
Anf. 104 INGER DAVIDSON (kd) replik:,0,/content/corpus/protocols/200607/prot-200607--108.xml,train
Fröken Hesselgren:,0,/content/corpus/protocols/1927/prot-1927--fk--20.xml,train
Herr DE GEER (fp):,0,/content/corpus/protocols/1954/prot-1954--fk--24.xml,train
Anf. 7 EDWARD RIEDL (M),0,/content/corpus/protocols/202122/prot-202122--29.xml,train
Anf. 106 Justitieminister THOMAS BOD-,0,/content/corpus/protocols/200102/prot-200102--88.xml,train
Herr WIKNER (s):,0,/content/corpus/protocols/1969/prot-1969--ak--14.xml,train
Anf. 40 Arbetsmarknadsminister SVEN OTTO LITTORIN (m) replik:,0,/content/corpus/protocols/200708/prot-200708--12.xml,train
Anf. 139 ESTER LINDSTEDT-STAAF (kd):,0,/content/corpus/protocols/200001/prot-200001--123.xml,train
STURE ERICSON (s):,0,/content/corpus/protocols/197778/prot-197778--108.xml,train
Herr LINDBLOM (fp):,0,/content/corpus/protocols/1956/prot-1956--fk--22.xml,train
Anf. 60 Klimat- och miljöminister ÅSA ROMSON (MP):,0,/content/corpus/protocols/201415/prot-201415--46.xml,train
Anf. 28 MAGNUS OSCARSSON (KD) replik,0,/content/corpus/protocols/201718/prot-201718--64.xml,train
Herr Larsén:,0,/content/corpus/protocols/1929/prot-1929--fk--22.xml,train
Anf. 12 Utrikesminister MARGOT WALLSTRÖM (S):,0,/content/corpus/protocols/201415/prot-201415--103.xml,train
Anf. 47 ANNIKA ÅHNBERG (vpk):,0,/content/corpus/protocols/198889/prot-198889--116.xml,train
"Chefen för inrikesdepartementet, herr statsrådet HOLMQVIST:",0,/content/corpus/protocols/1970/prot-1970-hÃ¶st-ak--41.xml,train
Herr JÖNSSON i (fp):,0,/content/corpus/protocols/1965/prot-1965-hÃ¶st-ak--40.xml,train
Anf. 195 ARNE KJÖRNSBERG (s):,0,/content/corpus/protocols/19992000/prot-19992000--29.xml,train
Anf. 71 SVEN-OLOF SÄLLSTRÖM (SD) replik:,0,/content/corpus/protocols/201213/prot-201213--91.xml,train
Herr WIRMARK (ss):,0,/content/corpus/protocols/1966/prot-1966--fk--25.xml,train
Herr SVENINGSSON mäle:,0,/content/corpus/protocols/1968/prot-1968--fk--10.xml,train
Anf. 40 PÄR GRANSTEDT (c):,0,/content/corpus/protocols/198586/prot-198586--99.xml,train
