text1,text2,tag1,tag2,split,file,split
"Herr Elofsson, Gustaf:","Herr talman! När det gällt frågan om lärarnas tjänstebostäder
              har det ju ofta uppstått tvistigheter mellan kommunerna och lärarna,
              många gånger på grund av att hyresbidragen för dessa tjänstebostäder
              ha varit alldeles för låga.",1,0,0,/content/corpus/protocols/1946/prot-1946-hÃ¶st-fk--40.xml,train
Anf. 17 Industriminister THAGE PETERSON:,"Herr talman! Jag kan notera att Per-Ola Eriksson själv var ledamot
              i kommittén. Han bör bättre än de flesta veta vilka direktiv som
              kommittén hade att arbeta efter. Jag utgår ifrån att han också
              är väl medveten om det ytterst ansträngda budgetläget. Det har
              lett till att alla kommittéer och utredningar skall följa de kommittédirektiv
              som är generella och som säger att alla förslag som läggs fram
              skall kunna genomföras inom ramen av oförändrade totala statliga
              kostnader. Och de direktiven är inget påhitt av den socialdemokratiska
              regeringen, utan de utfärdades av den borgerliga regeringen 1980.
              Även regionalpolitiska utredningen har haft att arbeta efter de
              direktiven.",1,0,0,/content/corpus/protocols/198485/prot-198485--43.xml,train
Herr NILSSON i Tvärålund (cp):,"Herr talman! Jag skulle inte ha begärt ordet, om inte statsrådet
              i sin senaste replik sagt att centerpartiet väl ändå ingett folk
              en falsk föreställning när man talade om behovet av ett nät av
              tätorter över hela vårt land. Vi har sagt att nätet av tätorter
              måste ha en växlande finmaskighet i olika delar av landet.",1,0,0,/content/corpus/protocols/1969/prot-1969--ak--9.xml,train
Herr SJÖDAHL (s):,"Herr talman! Jag vill erinra kammaren om, och jag riktar mig
              då med adress till herr Björnberg,",1,0,0,/content/corpus/protocols/1953/prot-1953--fk--14.xml,train
Anf. 192 DANIEL BÄCKSTRÖM (C) replik:,"Herr talman! Det som ministern lyfte fram om totalförsvarsplaneringen
              är mycket viktigt i detta sammanhang och hör ihop med helheten.
              När vi landade i försvarsuppgörelsen låg fokus på försvarsutgifterna,
              och sedan skulle vi återkomma till dialogen om vad som krävs i
              övrigt för att kunna nå en så bra totalförsvarsberedskap som möjligt.",1,0,0,/content/corpus/protocols/201617/prot-201617--42.xml,train
Anf. 116 Statsminister FREDRIK REINFELDT (M):,"Herr talman! Jag har hört ansvariga statsråd svara på den här
              typen av frågor, som inte riktigt instämmer i beskrivningen och
              som framför allt är försiktiga med en del av de slutsatser som
              Hillevi Larsson synes dra. Jag tycker att vi ska ta på fullt allvar
              att vi nu ser en tendens till ökade sjukskrivningar som mer grundar
              sig på psykiska bedömningar än, som tidigare har varit fallet,
              på somatiska åkommor.",1,0,0,/content/corpus/protocols/201314/prot-201314--45.xml,train
DÉN (s):,"Fru talman! Jag ska inte ge mig in på skatteutjämningsdebatten,
              för den har Lennart Hedquist och jag fört många gånger. Vi kommer
              säkert tillbaka till den.",1,0,0,/content/corpus/protocols/200102/prot-200102--51.xml,train
NILS BERNDTSON (vpk):,"Herr talman! Även för en folkpartiregering, som kanske har en
              annan syn på statlig verksamhet än vad jag har, borde det väl
              ändå vara rimligare att förstatliga företaget, trygga anställningen
              och påverka produktionens inriktning så som jag har pekat på i
              frågan än att använda statliga pengar för att underlätta för privata
              spekulanter i framtiden.",1,0,0,/content/corpus/protocols/197879/prot-197879--87.xml,train
Anf. 29 ALF SVENSSON (kds) replik,"Fru talman! Det är ett ständigt återkommande tal att Göran Persson
              fick överta ett moras av elände.",1,0,0,/content/corpus/protocols/199596/prot-199596--76.xml,train
JÖRN SVENSSON (vpk) kort genmäle:,"Herr talman! Nu tryter argumenten på den borgerliga sidan, och
              då vill man som vanligt fly till helt andra länder, till andra
              kulturkretsar och delar av världen med helt andra historiska och
              socialpsykologiska traditioner. Då vill man inte vara med och
              diskutera hur det är här i Sverige, men det är ändå det som vi
              sysslar med. Sådana där sluggerslag under bältet är litet väl
              primitiva. Jag har nu suttit i kammaren sedan 1971 och varenda
              gång som ni inte har « velat ta en hederlig och rak debatt om
              problemen här i Sverige kommer ni stickande med sådant där understucket
              trams om Sovjetunionen och Jörn Svensson, som hämtar sin ideologi
              från det och det landet. Sluta äntligen upp med sådana dumheter!
              Jag tycker att det är en för låg nivå för debatten i denna kammare.",1,0,0,/content/corpus/protocols/197778/prot-197778--106.xml,train
